t_norm_0_1,coherence_baseline,coherence_omega,entropy_baseline,entropy_omega
0.5107142857142858,0.0832246115155269,0.3805452484110575,0.900159170207145,0.5533374533257374
0.511904761904762,0.08320696078245532,0.3804399479092577,0.9001447545831786,0.5532657862155922
0.5130952380952382,0.08318746664738294,0.38032365006502933,0.9001312652231646,0.5531987240161228
0.5142857142857143,0.0831661334730266,0.38019638090540886,0.9001187028818309,0.5531362704794509
0.5154761904761905,0.08314296603367345,0.3800581689127734,0.9001070682620393,0.5530784290998443
0.5166666666666667,0.08311796951411261,0.3799090450184664,0.9000963620147451,0.5530252031135212
0.5178571428571429,0.08309114950847458,0.37974904259587566,0.9000865847389615,0.5529765954984688
0.5190476190476191,0.08306251201897959,0.379578197452964,0.900077736981726,0.5529326089742772
0.5202380952380953,0.08303206345459406,0.37939654782425586,0.9000698192380695,0.5528932460019873
0.5214285714285715,0.08299981062959647,0.3792041343622804,0.9000628319509888,0.5528585087839525
0.5226190476190476,0.08296576076205227,0.3790010001284739,0.9000567755114217,0.5528283992637156
0.5238095238095238,0.08292992147219856,0.3787871905835422,0.9000516502582253,0.552802919125901
0.525,0.08289230078073863,0.37856275357728764,0.9000474564781569,0.5527820697961189
0.5261904761904762,0.08285290710704704,0.3783277393378995,0.9000441944058578,0.5527658524408869
0.5273809523809524,0.08281174926728534,0.3780822004607135,0.9000418642238408,0.5527542679675641
0.5285714285714286,0.08276883647242901,0.37782619189644173,0.9000404660624792,0.5527473170243004
0.5297619047619048,0.08272417832620622,0.3775597709388737,0.9167,0.619005
0.530952380952381,0.0826777848229484,0.3772829972120552,0.9167009321119204,0.6190105607805385
0.5321428571428571,0.08262966634535358,0.3769959326569443,0.9167037282390784,0.6190272418776714
0.5333333333333334,0.08257983366216286,0.37669864151754906,0.9167083877557108,0.6190550395582294
0.5345238095238096,0.08252829792575031,0.37639119032655,0.9167149096190348,0.6190939476011924
0.5357142857142858,0.08247507066962714,0.37607364789041065,0.9167232923694808,0.6191439572990813
0.536904761904762,0.08242016380586059,0.3757460852739785,0.9167335341310197,0.6192050574599066
0.5380952380952382,0.08236358962240793,0.37540857578458126,0.9167456326115823,0.6192772344096737
0.5392857142857144,0.08230536078036663,0.37506119495562057,0.9167595851035725,0.6193604719954424
0.5404761904761906,0.08224549031114069,0.3747040205296682,0.9167753884844732,0.6194547515889425
0.5416666666666667,0.08218399161352437,0.37433713244106764,0.9167930392175447,0.6195600520907423
0.5428571428571429,0.08212087845070354,0.3739606127980447,0.916812533352617,0.6196763499349707
0.5440476190476191,0.08205616494717553,0.37357454586433225,0.9168338665269734,0.6198036190945911
0.5452380952380953,0.08198986558558814,0.3731790180403124,0.9168570339663266,0.6199418310872267
0.5464285714285715,0.08192199520349845,0.3727741178436801,0.9168820304858873,0.6200909549815337
0.5476190476190477,0.08185256899005224,0.3723599358896333,0.9169088504915254,0.6202509574041244
0.5488095238095239,0.08178160248258472,0.37193656487059384,0.9169374879810204,0.620421802547036
0.55,0.08170911156314331,0.37150409953546293,0.916967936545406,0.6206034521757442
0.5511904761904762,0.08163511245493335,0.3710626366684169,0.9170001893704035,0.6207958656377196
0.5523809523809524,0.08155962171868732,0.3706122750672468,0.9170342392379477,0.6209989998715262
0.5535714285714286,0.08148265624895869,0.3701531155212487,0.9170700785278014,0.6212128094164577
